date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2019-09-23,sh.000002,3141.1730,3141.1730,3101.7410,3118.7850,3149.6240,16800076288,199041695744.0000,3,0.487997,1,-0.979100,0
2019-09-24,sh.000002,3121.3080,3145.8580,3115.2960,3127.4450,3118.7850,16374973696,206153777152.0000,3,0.475845,1,0.277700,0
2019-09-25,sh.000002,3119.3890,3119.3890,3096.0780,3096.0780,3127.4450,16839202560,203698044928.0000,3,0.489320,1,-1.003000,0
2019-09-26,sh.000002,3105.5840,3111.4220,3067.6360,3068.4940,3096.0780,18871951360,216147980288.0000,3,0.548387,1,-0.890900,0
2019-09-27,sh.000002,3068.9210,3078.9610,3059.9250,3071.6950,3068.4940,13280226560,153249034240.0000,3,0.385683,1,0.104300,0
2019-09-30,sh.000002,3067.2360,3076.2260,3043.3530,3043.3530,3071.6950,11653592832,142520406016.0000,3,0.338204,1,-0.922700,0
2019-10-08,sh.000002,3043.9470,3072.5810,3043.9470,3052.1850,3043.3530,12540045824,151878918144.0000,3,0.363459,1,0.290200,0
2019-10-09,sh.000002,3040.1190,3064.0690,3029.0680,3064.0690,3052.1850,13033737984,150881988608.0000,3,0.378014,1,0.389400,0
2019-10-10,sh.000002,3062.8620,3089.6900,3057.1010,3088.0820,3064.0690,13407819264,157027848192.0000,3,0.388854,1,0.783700,0
2019-10-11,sh.000002,3095.5380,3122.7950,3083.1540,3115.3080,3088.0820,16108432896,182667255808.0000,3,0.467177,1,0.881600,0
2019-10-14,sh.000002,3136.6190,3170.5990,3132.2320,3151.1980,3115.3080,20845956096,221099675648.0000,3,0.604094,1,1.152000,0
2019-10-15,sh.000002,3148.8690,3148.8690,3128.5750,3133.5480,3151.1980,15529323008,169473187840.0000,3,0.450229,1,-0.560100,0
2019-10-16,sh.000002,3135.1790,3153.8840,3117.6630,3120.5900,3133.5480,14973793792,166703144960.0000,3,0.433922,1,-0.413500,0
2019-10-17,sh.000002,3121.9340,3129.0060,3111.0890,3119.2290,3120.5900,12239900160,135950467072.0000,3,0.354698,1,-0.043600,0
2019-10-18,sh.000002,3124.4880,3129.5980,3073.0220,3078.1630,3119.2290,14984209152,161920978944.0000,3,0.434124,1,-1.316500,0
2019-10-21,sh.000002,3073.7040,3080.4600,3056.7070,3079.7200,3078.1630,13234922496,145612201984.0000,3,0.383215,1,0.050600,0
2019-10-22,sh.000002,3086.0040,3095.4750,3074.2110,3095.1650,3079.7200,11736992256,130315980800.0000,3,0.339842,1,0.501500,0
2019-10-23,sh.000002,3093.6830,3098.2320,3074.4650,3081.8000,3095.1650,12371825408,139591888896.0000,3,0.358223,1,-0.431800,0
2019-10-24,sh.000002,3084.3090,3093.8030,3066.5190,3081.0570,3081.8000,12645655296,141623996416.0000,3,0.366152,1,-0.024100,0
2019-10-25,sh.000002,3080.5870,3099.2820,3059.7000,3095.8050,3081.0570,13674867968,160138940416.0000,3,0.395944,1,0.478700,0
